"ID","Oneida","Dialect","Oneida Audio","English","Oneida Example","Oneida Example Audio","Example in English","Image","Tags"
"344","tsyohsó:kwes","Oneida (Canada)","[sound:Oneida-344.mp3]","butternut",,,,,"Oneida_(Canada) Plants:_Trees"
"345","e:lí̲","Oneida (Canada)","[sound:Oneida-345.mp3]","cherry",,,,,"Oneida_(Canada) Food"
"346","tekanʌ’takwʌ́htʌ̲’","Oneida (Canada)","[sound:Oneida-346.mp3]","cedar",,,,,"Oneida_(Canada) Plants:_Trees"
"347","Washeyatló:loke’ kati’ kʌ nén tsistoka’tá:n̲e̲’","Oneida (Canada)","[sound:Oneida-347.mp3]","Did you watch the fireflies?",,,,,"Oneida_(Canada) Animals:_Insects"
"348","Wa’keyatló:loke’ nén kana:wʌ: kʌ’ latityenutyese̲’","Oneida (Canada)","[sound:Oneida-348.mp3]","I watched the butterflies flying around.",,,,,"Oneida_(Canada) Animals:_Insects"
"349","Yah kati’ kʌ otsi’nuhwahé:ta̲’","Oneida (Canada)","[sound:Oneida-349.mp3]","isn’t it the earthworm",,,,,"Oneida_(Canada) Animals:_Insects"
"350","Sanúhte’ kʌ na’katsi’nuyótʌ lutsta nʌ ukuyohkawinésa̲’","Oneida (Canada)","[sound:Oneida-350.mp3]","Do you know what kind of insect they use when they go fishing?",,,,,"Oneida_(Canada) Animals:_Insects"
"351","Kwa’nyo lotityohkwanʌ nén okalyahtá:ne̲’","Oneida (Canada)","[sound:Oneida-351.mp3]","There are sure a lot of mosquitoes.",,,,,"Oneida_(Canada) Animals:_Insects"
"352","Nok ʌwá:tu ʌsehnikúlalake takʌ’ tʌyawe’est tsinuhnehklís","Oneida (Canada)","[sound:Oneida-352.mp3]","You have to be careful that the bee doesn't sting you.",,,,,"Oneida_(Canada) Animals:_Insects"
"353","Né: kwi: nu’u:wa ʌyethina’tuni  tsyokna’katsi’nuyotʌse̲’","Oneida (Canada)","[sound:Oneida-353.mp3]","We will name the different kinds of insects",,,,,"Oneida_(Canada) Animals:_Insects"
"354","watlʌ:náyʌhe̲’","Oneida (Canada)","[sound:Oneida-354.mp3]","praying mantis",,,,,"Oneida_(Canada) Animals:_Insects"
"355","otsi’nuwahéta̲’","Oneida (Canada)","[sound:Oneida-355.mp3]","earthworm",,,,,"Oneida_(Canada) Animals:_Insects"
"356","tsistoka’tá:ne̲’","Oneida (Canada)","[sound:Oneida-356.mp3]","firefly",,,,,"Oneida_(Canada) Animals:_Insects"
"357","slíkslik","Oneida (Canada)","[sound:Oneida-357.mp3]","cricket",,,,,"Oneida_(Canada) Animals:_Insects"
"358","okalyahtá:ne̲’","Oneida (Canada)","[sound:Oneida-358.mp3]","mosquito",,,,,"Oneida_(Canada) Animals:_Insects"
"359","tsistalak","Oneida (Canada)","[sound:Oneida-359.mp3]","grasshopper",,,,,"Oneida_(Canada) Animals:_Insects"
"360","onhwalá:n̲e̲’","Oneida (Canada)","[sound:Oneida-360.mp3]","caterpiller",,,,,"Oneida_(Canada) Animals:_Insects"
"361","kana:wʌ̲́:","Oneida (Canada)","[sound:Oneida-361.mp3]","butterfly",,,,,"Oneida_(Canada) Animals:_Insects"
"362","tsinuhnéhklis","Oneida (Canada)","[sound:Oneida-362.mp3]","bee",,,,,"Oneida_(Canada) Animals:_Insects"
"363","tsi’nhutstókhwi̲’","Oneida (Canada)","[sound:Oneida-363.mp3]","ant",,,,,"Oneida_(Canada) Animals:_Insects"
"364","Wa’eskalakone’ kʌ nén sanulha","Oneida (Canada)","[sound:Oneida-364.mp3]","Is your mother going to pick flax?",,,,,"Oneida_(Canada) Plants"
"365","Wahsahyaka’ káti’ kʌ nén shá:yese̲’","Oneida (Canada)","[sound:Oneida-365.mp3]","Are you going to pick thimbleberries?",,,,,"Oneida_(Canada) Plants"
"366","Hʌ thonʌ wá:yat ʌkatú:ni̲","Oneida (Canada)","[sound:Oneida-366.mp3]","Yes, then I am going to make pie.",,,,,"Oneida_(Canada) Food"
"367","Wahsahyaka kʌ  alá:sek","Oneida (Canada)","[sound:Oneida-367.mp3]","Are you going to pick elderberries?",,,,,"Oneida_(Canada) Plants"
"368","Né: ki’ tat sahsaka khále’ satholyahslyúse̲","Oneida (Canada)","[sound:Oneida-368.mp3]","it’s for coughs and if you have a cold.",,,,,"Oneida_(Canada) Plants"
"369","Náhte’ né: yotlihute̲","Oneida (Canada)","[sound:Oneida-369.mp3]","What is it used for?",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"370","Hao’ kwi tnikó:na nén onunó:li̲:","Oneida (Canada)","[sound:Oneida-370.mp3]","lets go get some sweet flax",,,,,"Oneida_(Canada) Plants"
"371","ohté:la̲’","Oneida (Canada)","[sound:Oneida-371.mp3]","root",,,,,"Oneida_(Canada) Plants"
"372","kanʌhe̲’","Oneida (Canada)","[sound:Oneida-372.mp3]","seed",,,,,"Oneida_(Canada) Plants"
"373","okuhsyu:ta̲","Oneida (Canada)","[sound:Oneida-373.mp3]","sunflower",,,,,"Oneida_(Canada) Plants"
"374","ohyu:kwál̲a̲’","Oneida (Canada)","[sound:Oneida-374.mp3]","thistle",,,,,"Oneida_(Canada) Plants"
"375","óskal̲e̲’","Oneida (Canada)","[sound:Oneida-375.mp3]","flax",,,,,"Oneida_(Canada) Plants"
"376","ala:sék","Oneida (Canada)","[sound:Oneida-376.mp3]","elderberry",,,,,"Oneida_(Canada) Plants"
"377","otshohkhwi̲","Oneida (Canada)","[sound:Oneida-377.mp3]","blueberry",,,,,"Oneida_(Canada) Plants"
"378","teyothutá:ktu̲","Oneida (Canada)","[sound:Oneida-378.mp3]","blackcap",,,,,"Oneida_(Canada) Plants"
"379","shá:yese̲’","Oneida (Canada)","[sound:Oneida-379.mp3]","thimbleberry",,,,,"Oneida_(Canada) Plants"
"380","Tsi’  niwaku’weskwanihe’ nén  akeyatloló:ke’ nén laulau tho latityenutyese̲’","Oneida (Canada)","[sound:Oneida-380.mp3]","I like to see the hummingbirds flying around.",,,,,"Oneida_(Canada) Animals:_Birds"
"381","Hʌ nok tsi’ yah ki’ nuwʌtu te’wake’waláku","Oneida (Canada)","[sound:Oneida-381.mp3]","yes but I have never eaten the meat",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"382","Nʌ kʌ né: nʌwʌtu shekʌ nén kwah ok thikuné:se’ skawiló:wan̲e̲’","Oneida (Canada)","[sound:Oneida-382.mp3]","did you ever see the wild turkey?",,,,,"Oneida_(Canada) Animals:_Birds"
"383","Hʌ thoki’ Springbank thunése’","Oneida (Canada)","[sound:Oneida-383.mp3]","yes they are at the Springbank",,,,,"Oneida_(Canada) Animals:_Birds"
"384","Nʌ kʌ nise: nʌwʌtu hetskʌ nén wa’kohseskó:","Oneida (Canada)","[sound:Oneida-384.mp3]","did you ever see the peacock?",,,,,"Oneida_(Canada) Animals:_Birds"
"385","Wé:ne kwi tsiskó:ko","Oneida (Canada)","[sound:Oneida-385.mp3]","I guess the robin",,,,,"Oneida_(Canada) Animals:_Birds"
"386","Náhte’ ne na’katsi’tʌslotʌ kwah tyotyelʌtu ʌswawe’ nʌ́: kukwí:te̲","Oneida (Canada)","[sound:Oneida-386.mp3]","what is the first bird to return in the spring?",,,,,"Oneida_(Canada) Animals:_Birds"
"387","wa’kohseskó","Oneida (Canada)","[sound:Oneida-387.mp3]","peacock",,,,,"Oneida_(Canada) Animals:_Birds"
"388","skawiló:wane̲’","Oneida (Canada)","[sound:Oneida-388.mp3]","turkey",,,,,"Oneida_(Canada) Animals:_Birds"
"389","kalhakú:h̲a̲","Oneida (Canada)","[sound:Oneida-389.mp3]","chicken hawk",,,,,"Oneida_(Canada) Animals:_Birds"
"390","ká:ka’","Oneida (Canada)","[sound:Oneida-390.mp3]","crow",,,,,"Oneida_(Canada) Animals:_Birds"
"391","kwaló:lu̲","Oneida (Canada)","[sound:Oneida-391.mp3]","owl",,,,,"Oneida_(Canada) Animals:_Birds"
"392","Tekahnekákhwa̲:","Oneida (Canada)","[sound:Oneida-392.mp3]","swallow (a bird)",,,,,"Oneida_(Canada) Animals:_Birds"
"393","kanata’kékha","Oneida (Canada)","[sound:Oneida-393.mp3]","sparrow",,,,,"Oneida_(Canada) Animals:_Birds"
"394","tsiskó:ko’","Oneida (Canada)","[sound:Oneida-394.mp3]","robin",,,,,"Oneida_(Canada) Animals:_Birds"
"395","otsi’nkwalá","Oneida (Canada)","[sound:Oneida-395.mp3]","goldfinch",,,,,"Oneida_(Canada) Animals:_Birds"
"396","Laulau","Oneida (Canada)","[sound:Oneida-396.mp3]","hummingbird",,,,,"Oneida_(Canada) Animals:_Birds"
"397","Ok nén kohkwá:e","Oneida (Canada)","[sound:Oneida-397.mp3]","what about the quail or bobwhite?",,,,,"Oneida_(Canada) Animals:_Birds"
"398","Onikwʌhtala: ki’ nén kohslakweku kʌ’ lʌ:nése̲’","Oneida (Canada)","[sound:Oneida-398.mp3]","cardinals stay here all winter.",,,,,"Oneida_(Canada) Animals:_Birds"
"399","Náhte’ káti’ né: na’katsi’tʌ’slotʌ kʌ’ kunese’ kohslakwé:ku̲","Oneida (Canada)","[sound:Oneida-399.mp3]","what kind of birds stay all winter?",,,,,"Oneida_(Canada) Animals:_Birds"
"400","Talu’kó: kwi nén ʌti nyekunese’ nʌ kanana’kene̲","Oneida (Canada)","[sound:Oneida-400.mp3]","Ducks go south in the fall.",,,,,"Oneida_(Canada) Animals:_Birds"
"401","Náhte’ káti’ né: na’katsitʌ’slotʌ’ nén ʌti nukwá nyekunese’ nén kananakene̲","Oneida (Canada)","[sound:Oneida-401.mp3]","what kind of birds go south in the fall?",,,,,"Oneida_(Canada) Animals:_Birds"
"402","Né: ki’ nén atú:nyote’ kwah tkuwalihowanáhtu","Oneida (Canada)","[sound:Oneida-402.mp3]","it is the eagle they hold most high",,,,,"Oneida_(Canada) Animals:_Birds"
"403","Náhte’ na’katsi’tʌ sló:tʌ kwah tkuwalihowanáhtu nén Onʌyota’a:ka","Oneida (Canada)","[sound:Oneida-403.mp3]","What bird do Oneida people hold most high?",,,,,"Oneida_(Canada) Animals:_Birds"
"404","tawistáwi̲","Oneida (Canada)","[sound:Oneida-404.mp3]","kildeer",,,,,"Oneida_(Canada) Animals:_Birds"
"405","olí:te̲:","Oneida (Canada)","[sound:Oneida-405.mp3]","mourning dove",,,,,"Oneida_(Canada) Animals:_Birds"
"406","atú:nyote̲’","Oneida (Canada)","[sound:Oneida-406.mp3]","eagle",,,,,"Oneida_(Canada) Animals:_Birds"
"407","talu’kó","Oneida (Canada)","[sound:Oneida-407.mp3]","duck",,,,,"Oneida_(Canada) Animals:_Birds"
"408","lalutastohoksha̲","Oneida (Canada)","[sound:Oneida-408.mp3]","woodpecker",,,,,"Oneida_(Canada) Animals:_Birds"
"409","kohkwá:e","Oneida (Canada)","[sound:Oneida-409.mp3]","bobwhite or quail",,,,,"Oneida_(Canada) Animals:_Birds"
"410","klikli","Oneida (Canada)","[sound:Oneida-410.mp3]","bluejay",,,,,"Oneida_(Canada) Animals:_Birds"
"411","onikwʌhtala","Oneida (Canada)","[sound:Oneida-411.mp3]","cardinal",,,,,"Oneida_(Canada) Animals:_Birds"
"412","taluló:lu̲","Oneida (Canada)","[sound:Oneida-412.mp3]","bluebird",,,,,"Oneida_(Canada) Animals:_Birds"
"413","kahúk","Oneida (Canada)","[sound:Oneida-413.mp3]","wild goose",,,,,"Oneida_(Canada) Animals:_Birds"
"414","Sanúhte’ kʌ to:nihoti’taláke nén Onʌyota’a:ka̲","Oneida (Canada)","[sound:Oneida-414.mp3]","Do you know how many clans Oneida people have?",,,,,"Oneida_(Canada) Clans"
"415","Hao’ kwi tasna’tuni nén tsi’ nihoti’taló:tʌse̲’","Oneida (Canada)","[sound:Oneida-415.mp3]","You name the clans then",,,,,"Oneida_(Canada) Clans"
"416","Hao’  ohkwá:li  a’nó:wal khále’ othayú:ni̲","Oneida (Canada)","[sound:Oneida-416.mp3]","Ok, bear, turtle and wolf",,,,,"Oneida_(Canada) Clans"
"417","Sanúhte’ káti’ kʌ tsi’ sanulha tsi’ nityakotwatsilí:nu né: katáti","Oneida (Canada)","[sound:Oneida-417.mp3]","Do you know that you follow your mother’s line?",,,,,"Oneida_(Canada) Clans"
"418","Teyotuhutsyu kwi né: ahonanuhteke’ ka’i:kʌ nén ukwahwá:tsile̲’","Oneida (Canada)","[sound:Oneida-418.mp3]","Our families should know this",,,,,"Oneida_(Canada) Clans"
"419","otala'shúh̲a̲","Oneida (Canada)","[sound:Oneida-419.mp3]","clans",,,,,"Oneida_(Canada) Clans"
"420","watahsatalha̲'","Oneida (Canada)","[sound:Oneida-420.mp3]","television",,,,,"Oneida_(Canada) In_The_House"
"421","atekhwahlakhwa̲’","Oneida (Canada)","[sound:Oneida-421.mp3]","table",,,,,"Oneida_(Canada) In_The_House"
"422","tsi' yekunya'takhwa̲’","Oneida (Canada)","[sound:Oneida-422.mp3]","stove",,,,,"Oneida_(Canada) In_The_House"
"423","tsi’ yelatʌstakhwa̲’","Oneida (Canada)","[sound:Oneida-423.mp3]","steps or stairs",,,,,"Oneida_(Canada) In_The_House"
"424","yutkʌhakwʌhtalhó:tha̲’","Oneida (Canada)","[sound:Oneida-424.mp3]","rug",,,,,"Oneida_(Canada) In_The_House"
"425","tsi’ yutolishʌtakhwa̲’","Oneida (Canada)","[sound:Oneida-425.mp3]","couch or lounge",,,,,"Oneida_(Canada) In_The_House"
"426","tsi’ yenʌhale’taynukhwa̲’","Oneida (Canada)","[sound:Oneida-426.mp3]","laundry room",,,,,"Oneida_(Canada) In_The_House"
"427","yetsistotakhwa̲’","Oneida (Canada)","[sound:Oneida-427.mp3]","lamp",,,,,"Oneida_(Canada) In_The_House"
"428","tsi’ yekunyatha̲’","Oneida (Canada)","[sound:Oneida-428.mp3]","kitchen",,,,,"Oneida_(Canada) Food"
"429","uhutu yonhoka:lute̲’","Oneida (Canada)","[sound:Oneida-429.mp3]","front door",,,,,"Oneida_(Canada) In_The_House"
"430","tsi’ yutekhwawistotakhwa̲’","Oneida (Canada)","[sound:Oneida-430.mp3]","fridge",,,,,"Oneida_(Canada) In_The_House"
"431","tsi’ lutekunyatha̲’","Oneida (Canada)","[sound:Oneida-431.mp3]","dining room",,,,,"Oneida_(Canada) In_The_House"
"432","tsi’ yutslunyakwihalákhwa̲’","Oneida (Canada)","[sound:Oneida-432.mp3]","coat rack",,,,,"Oneida_(Canada) In_The_House"
"433","yelistalhó:tha̲’","Oneida (Canada)","[sound:Oneida-433.mp3]","clothes iron",,,,,"Oneida_(Canada) In_The_House"
"434","yutslunyakwihalakhwa̲’","Oneida (Canada)","[sound:Oneida-434.mp3]","closet",,,,,"Oneida_(Canada) In_The_House"
"435","anitskwalakhwa̲’","Oneida (Canada)","[sound:Oneida-435.mp3]","chair",,,,,"Oneida_(Canada) In_The_House"
"436","wa’shalowá:n","Oneida (Canada)","[sound:Oneida-436.mp3]","butcher knife",,,,,"Oneida_(Canada) Food"
"437","tsi’ yunuwehtsta̲’","Oneida (Canada)","[sound:Oneida-437.mp3]","bedroom",,,,,"Oneida_(Canada) In_The_House"
"438","ka:nákte̲’","Oneida (Canada)","[sound:Oneida-438.mp3]","bed",,,,,"Oneida_(Canada) In_The_House"
"439","ohnákʌ’ yonhoka:lute̲’","Oneida (Canada)","[sound:Oneida-439.mp3]","back door",,,,,"Oneida_(Canada) In_The_House"
"440","Watlu’ niyowista:e tsi’ niyole: ahsʌ swatye:lʌ kayé:","Oneida (Canada)","[sound:Oneida-440.mp3]","9:00 until 3:00 sometimes 4:00",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"441","Ohniyotuhati nu’ú:wa̲’","Oneida (Canada)","[sound:Oneida-441.mp3]","What’s going on today?",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"442","elhúwa kateyʌtet","Oneida (Canada)","[sound:Oneida-442.mp3]","(just now) new learner",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"443","Watsyok ʌtutaoyʌte̲","Oneida (Canada)","[sound:Oneida-443.mp3]","the speakers will be coming in today",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"444","Katsi’tsyókwas khále’ Kanʌhlʌt kʌ íknehse’ nu’úwa̲","Oneida (Canada)","[sound:Oneida-444.mp3]","Katsi’tsyókwas and Kanʌhlʌt are here today",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"445","Í:selhe’ kʌ Twatéyʌtet Onʌyota’á:ka̲","Oneida (Canada)","[sound:Oneida-445.mp3]","Do you want an Oneida Lesson book?",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"446","Yah te waki","Oneida (Canada)","[sound:Oneida-446.mp3]","I don't have any",,,,,"Oneida_(Canada) Misc."
"447","tewakenhala:u","Oneida (Canada)","[sound:Oneida-447.mp3]","I am busy",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"448","tyotkút tewakenhala:u ukwehu:wehneke","Oneida (Canada)","[sound:Oneida-448.mp3]","I am always busy with the language",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"449","E:so ukyatakenha’ ukwehuwehne:ke akatwanú:tak","Oneida (Canada)","[sound:Oneida-449.mp3]","It helps me speak Oneida",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"450","E:so waki tsyok náhte’shu ukwehuweneke kaya:tale̲","Oneida (Canada)","[sound:Oneida-450.mp3]","I have lots of things for our language(pictures)",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"451","tʌyakwatahyá:lihte̲’","Oneida (Canada)","[sound:Oneida-451.mp3]","we will have strawberries",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"452","ʌyokalawe̲’","Oneida (Canada)","[sound:Oneida-452.mp3]","tonight",,,,,"Oneida_(Canada) Time"
"453","ʌkatá:yalihte̲’","Oneida (Canada)","[sound:Oneida-453.mp3]","for me to can",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"454","ʌsata:yalíte̲’","Oneida (Canada)","[sound:Oneida-454.mp3]","for you to can",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"455","ʌyolhʌne̲","Oneida (Canada)","[sound:Oneida-455.mp3]","tomorrow",,,,,"Oneida_(Canada) Time"
"456","kawistokwanʌsta̲","Oneida (Canada)","[sound:Oneida-456.mp3]","freezer",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"457","ʌkwisto:kwanʌste̲’","Oneida (Canada)","[sound:Oneida-457.mp3]","I will freeze it",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"458","kʌtyohkwá:nʌ̲","Oneida (Canada)","[sound:Oneida-458.mp3]","a lot of people",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"459","Atsyók wakahyákha’ awʌhíhte’ ʌwá:tu tʌ:yakwatahyá:lite’ ʌyokalawe̲’","Oneida (Canada)","[sound:Oneida-459.mp3]","I am going to pick strawberries afterwhile so that we can have some tonight",,,,,"Oneida_(Canada) Food:_Strawberry_Jam_Making"
"460","Okna’ kʌ yohyáli̲","Oneida (Canada)","[sound:Oneida-460.mp3]","are the berries ripe already?",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"461","Hʌ́: nʌki’ yohyáli̲","Oneida (Canada)","[sound:Oneida-461.mp3]","Yes the berries are ripe",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"462","Wé:ni kwi: ʌyolhʌne’ ni: ʌkahyakha I:sʌ takatahyalihte̲’","Oneida (Canada)","[sound:Oneida-462.mp3]","I guess I will go and pick berries tomorrow so I can have some berries too.",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"463","I:kelhe’ sʌ tohka nikanutotslake akwistokwanʌste’ ok’ni’i:se̲’","Oneida (Canada)","[sound:Oneida-463.mp3]","I want to freeze a few boxes, what about you?",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"464","Yah ki' ni: teyukwáyʌ kawisto’kwanʌsta̲  Wé:ni kwi: ʌkatá:yalihte’ ni’ i:","Oneida (Canada)","[sound:Oneida-464.mp3]","we don't have a freezer, so I have to can mine",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"465","Kʌtyohkwanʌ kyu’utewí:ne latiwisto’kwanʌsta tsyok nahohte̲","Oneida (Canada)","[sound:Oneida-465.mp3]","I guess a lot of people freeze almost anything",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"466","awʌhíhte̲’","Oneida (Canada)","[sound:Oneida-466.mp3]","strawberry",,,,,"Oneida_(Canada) Food"
"467","wakhyatuhslú:nti","Oneida (Canada)","[sound:Oneida-467.mp3]","i lost my card (paper)",,,,,"Oneida_(Canada) Money_and_Shopping"
"468","yotóktani: akhyatuhsehli̲","Oneida (Canada)","[sound:Oneida-468.mp3]","it expired (my card)",,,,,"Oneida_(Canada) Money_and_Shopping"
"469","a:sé usaskhuni","Oneida (Canada)","[sound:Oneida-469.mp3]","make me a new one",,,,,"Oneida_(Canada) Money_and_Shopping"
"470","tewakatuhutsyoní status card","Oneida (Canada)","[sound:Oneida-470.mp3]","I need my status card",,,,,"Oneida_(Canada) Money_and_Shopping"
"471","í:kelhe’ akhwistako","Oneida (Canada)","[sound:Oneida-471.mp3]","I want to get my money",,,,,"Oneida_(Canada) Money_and_Shopping"
"472","í:kelhe’ akalyákha wakatkaló:t","Oneida (Canada)","[sound:Oneida-472.mp3]","I want to pay my bill",,,,,"Oneida_(Canada) Money_and_Shopping"
"473","í:kehle’ thoyaukyatuhslú:ti̲","Oneida (Canada)","[sound:Oneida-473.mp3]","I want to put these papers in (to finance for example)",,,,,"Oneida_(Canada) Money_and_Shopping"
"474","snanhú: ka’í:kʌ kayatuhsehli̲","Oneida (Canada)","[sound:Oneida-474.mp3]","you fill out this paper",,,,,"Oneida_(Canada) Money_and_Shopping"
"475","tasataoyát","Oneida (Canada)","[sound:Oneida-475.mp3]","enter (come on in)",,,,,"Oneida_(Canada) Commands"
"476","isi’ yonhakalú:te̲","Oneida (Canada)","[sound:Oneida-476.mp3]","there is the door",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"477","náhte’ tesatuhútsyoni̲","Oneida (Canada)","[sound:Oneida-477.mp3]","what do you need?",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"478","satnutút nyá:lek̲w̲e̲","Oneida (Canada)","[sound:Oneida-478.mp3]","wait a minute",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"479","luwatiya’takenhas","Oneida (Canada)","[sound:Oneida-479.mp3]","he or she is helping them",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"480","ʌwatú:kʌ akuya’takenha̲’","Oneida (Canada)","[sound:Oneida-480.mp3]","can I help you?",,,,,"Oneida_(Canada) Learning_Oneida_(Language)"
"481","shekoli skʌna’kó: kʌ́","Oneida (Canada)","[sound:Oneida-481.mp3]","hello, are you at peace?",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"482","kheya'takenhas ukwe:hu:we̲","Oneida (Canada)","[sound:Oneida-482.mp3]","helping the original people",,,,,"Oneida_(Canada) Misc."
"483","wahsakayu:tese̲’","Oneida (Canada)","[sound:Oneida-483.mp3]","thundering",,,,,"Oneida_(Canada) Weather"
"484","luhyohkawí:nese̲’","Oneida (Canada)","[sound:Oneida-484.mp3]","they are fishing",,,,,"Oneida_(Canada) Food:_Fishing"
"485","latitsyayé:nas","Oneida (Canada)","[sound:Oneida-485.mp3]","they are catching fish",,,,,"Oneida_(Canada) Food:_Fishing"
"486","kayʌhakta","Oneida (Canada)","[sound:Oneida-486.mp3]","near the river",,,,,"Oneida_(Canada) Food:_Fishing"
"487","aslí:ye̲","Oneida (Canada)","[sound:Oneida-487.mp3]","string",,,,,"Oneida_(Canada) Food:_Fishing"
"488","nʌ ki’ kukwité:ne  nʌ ya’kahewe’ tsi’ nihuyohkawiné:se̲","Oneida (Canada)","[sound:Oneida-488.mp3]","it is now spring, it is time to fish",,,,,"Oneida_(Canada) Food:_Fishing"
"489","Sanúhte’ kʌ náhte’ lutsta nʌ uhoyóhkawin̲e̲","Oneida (Canada)","[sound:Oneida-489.mp3]","do you know what they use when they fish?",,,,,"Oneida_(Canada) Food:_Fishing"
"490","hʌ asliyé: kʌs ataslá:ke wahʌnohalʌ̲","Oneida (Canada)","[sound:Oneida-490.mp3]","yes they put a string on a stick",,,,,"Oneida_(Canada) Food:_Fishing"
"491","su’weskwanihe’ kʌ nise: asahyohkawin̲e̲","Oneida (Canada)","[sound:Oneida-491.mp3]","do you like (enjoy) to fish?",,,,,"Oneida_(Canada) Food:_Fishing"
"492","hʌ  tatki’ wʌhnisli:yo̲","Oneida (Canada)","[sound:Oneida-492.mp3]","yes if it is a nice day",,,,,"Oneida_(Canada) Food:_Fishing"
"493","katsha’ kʌs nu: wahsayohkawinesa̲’","Oneida (Canada)","[sound:Oneida-493.mp3]","where do you go to fish?",,,,,"Oneida_(Canada) Food:_Fishing"
"494","tho ki' kahyʌhaku̲","Oneida (Canada)","[sound:Oneida-494.mp3]","at the river",,,,,"Oneida_(Canada) Food:_Fishing"
"495","áhta’ né: ka’í:kʌ̲","Oneida (Canada)","[sound:Oneida-495.mp3]","this is a shoe or boot",,,,,"Oneida_(Canada) Clothes"
"496","aná:lole’ né: ka’í:kʌ̲","Oneida (Canada)","[sound:Oneida-496.mp3]","this is a hat",,,,,"Oneida_(Canada) Clothes"
"497","kohsla’kekha’ atslunyá:k̲h̲w̲a̲’","Oneida (Canada)","[sound:Oneida-497.mp3]","winter clothing",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"498","kohsla’kekha’ atyá:tawiht","Oneida (Canada)","[sound:Oneida-498.mp3]","winter jacket",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"499","kohsla’kekha’ a’nhuskwál̲h̲a̲’","Oneida (Canada)","[sound:Oneida-499.mp3]","winter pants",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"500","a'nyá:nawʌ̲","Oneida (Canada)","[sound:Oneida-500.mp3]","glove",,,,,"Oneida_(Canada) Clothes"
"501","yunihtyákta̲","Oneida (Canada)","[sound:Oneida-501.mp3]","scarf",,,,,"Oneida_(Canada) Clothes"
"502","Onʌyota’a:ká: niwakuhutsyó:tʌ̲","Oneida (Canada)","[sound:Oneida-502.mp3]","Oneida is my nation",,,,,"Oneida_(Canada) Locations"
"503","Thiwésa is my name","Oneida (Canada)","[sound:Oneida-503.mp3]","Thiwésa ní: yukyáts",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"504","ohkwalí niwaki’taló:tʌ̲","Oneida (Canada)","[sound:Oneida-504.mp3]","bear is my clan",,,,,"Oneida_(Canada) Clans"
"505","Onʌyota’a:ká: ukwehuwé:ne nú: teknakéhl̲e̲’","Oneida (Canada)","[sound:Oneida-505.mp3]","Oneida reserve is where I live",,,,,"Oneida_(Canada) Locations"
"506","Clara yohatati tsi' nú: teknakéhl̲e̲’","Oneida (Canada)","[sound:Oneida-506.mp3]","Clara road is where I live on",,,,,"Oneida_(Canada) Locations"
"507","Tsyá:tak niwashʌ watlu’ na’tewakohsliyá:ku̲","Oneida (Canada)","[sound:Oneida-507.mp3]","seventy nine is how old I am",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"508","Onʌyota’á:ka Lutwʌnutakhwa’ Kʌtyohkwayʌ tsi’ nú: yekatawyá:th̲a̲’","Oneida (Canada)","[sound:Oneida-508.mp3]","Oneida Language Centre is where I go to school",,,,,"Oneida_(Canada) Locations"
"509","Lillian yutatyáts aknulha","Oneida (Canada)","[sound:Oneida-509.mp3]","Lillian is my mother’s name",,,,,"Oneida_(Canada) Family"
"510","Joseph luwa:yáts lake’nih̲a̲","Oneida (Canada)","[sound:Oneida-510.mp3]","Joseph is my father’s name",,,,,"Oneida_(Canada) Family"
