ID,Oneida,English,Audio File
669,"akwakwʌnya’","my costume","./audio/669.mp3"
670,"akwatkuhsolokta’","my mask","./audio/670.mp3"
671,"awélu'uske̲'","witch","./audio/671.mp3"
672,"tsina’tsyakehte̲’","spider","./audio/672.mp3"
673,"otstókhwi̲’","blueberry","./audio/673.mp3"
674,"o’nʌhalkó:","grapes","./audio/674.mp3"
675,"alá:sek","elderberry","./audio/675.mp3"
676,"yonu’slaké:tote̲’","squash","./audio/676.mp3"
677,"onú:tsi̲","cabbage","./audio/677.mp3"
678,"onikwʌhtla’ nikahtehló:tʌ̲","beet","./audio/678.mp3"
679,"teyotsho’kwakwe’nú:ni̲","walnuts","./audio/679.mp3"
680,"otsinkhwala’ nikahtehló:tʌ̲","carrots","./audio/680.mp3"
681,"Ʌsatnʌstatate’ kʌ nén onʌhakʌ́:late̲","Are you going to dry the Indian corn?","./audio/681.mp3"
682,"Hʌ: tho’ nʌ ʌwá:tu né: ʌkatlanú:ni̲","Yes, then I can make cornsoup","./audio/682.mp3"
683,"Ʌwá:tu kʌ alá:sek wá:yat ʌsatna’talú:ni̲","Can you make elderberry pie?","./audio/683.mp3"
684,"Ʌsatsható: kʌ nén yonu’slaké:tote̲’","Are you going to bury the squash?","./audio/684.mp3"
685,"Tah oksa' ki' né: ʌkna’tishalʌ̲","No, I'm going to boil it right away.","./audio/685.mp3"
686,"shékoli","hello","./audio/686.mp3"
687,"tetwatunʌhelá:tu kakhwa’shuha̲","we give thanks for these foods","./audio/687.mp3"
688,"yehnikihlatha’ ó:wise̲’","drinking glass","./audio/688.mp3"
689,"yehnikihlatha̲’","drinking mug","./audio/689.mp3"
690,"atsí","dinner plate","./audio/690.mp3"
691,"atokwat","spoon","./audio/691.mp3"
692,"ashale̲’","knife","./audio/692.mp3"
693,"ashekwe̲’","fork","./audio/693.mp3"
694,"yutshokewatha̲’","napkin","./audio/694.mp3"
695,"yutsholyatha̲’","bowl","./audio/695.mp3"
696,"Tsha’tekohsélha̲’","February (Midwinter)","./audio/696.mp3"
697,"Tewʌhníslya’ks","March (the day is cut in two)","./audio/697.mp3"
698,"Wahsakayu:té:se̲’","April (it’s thundering)","./audio/698.mp3"
699,"Latiyʌ́thos","May (they plant)","./audio/699.mp3"
700,"Awʌhíhte̲’","June (strawberries)","./audio/700.mp3"
701,"Ohyótshel̲i̲’","July (green beans)","./audio/701.mp3"
702,"Onʌ́stase̲’","August (new corn)","./audio/702.mp3"
703,"Yeyʌthókwas","September (someone harvests)","./audio/703.mp3"
704,"Yutékhwayʌh̲e̲’","October (someone store's food)","./audio/704.mp3"
705,"Tehutʌnuhela:túh̲e̲’","November (they give thanks)","./audio/705.mp3"
706,"Wahsu:tés","December (it's a long night)","./audio/706.mp3"
707,"Teyakohúhtya'ks","January (someone’s ears are freezing)","./audio/707.mp3"
708,"ʌshatshá:tu̲","bury it","./audio/708.mp3"
709,"uská","one","./audio/709.mp3"
710,"tékeni̲","two","./audio/710.mp3"
711,"ahsʌ̲́","three","./audio/711.mp3"
712,"kayé:","four","./audio/712.mp3"
713,"wisk","five","./audio/713.mp3"
714,"yá:yak","six","./audio/714.mp3"
715,"tsyá:tak","seven","./audio/715.mp3"
716,"teklu’","eight","./audio/716.mp3"
717,"wá:tlu’","nine","./audio/717.mp3"
718,"oyé:li̲","ten","./audio/718.mp3"
719,"hao satketsko̲","come on, get up!","./audio/719.mp3"
720,"nʌki’ wa’katketsko̲","are you up?","./audio/720.mp3"
721,"hʌ́:ʌ nʌki’ wa’katketsko̲","yes, I am up","./audio/721.mp3"
722,"satslúni ó:nʌ̲","you get dressed now","./audio/722.mp3"
723,"tho ni yót tsi’ satsluni yotholé nu’u:wa̲’","you dress warm it’s cold today","./audio/723.mp3"
724,"ʌtyatekhunyá:na’ kʌ","you and I will eat together","./audio/724.mp3"
725,"í:sehle’ kʌ a:shatna’talutʌ swahyó:wane’ wá:yat","do you want to bake an apple pie?","./audio/725.mp3"
726,"wé:ne ki’ wah","I guess so","./audio/726.mp3"
727,"Thó: nikana’talá:ke̲","how many pies?","./audio/727.mp3"
728,"Wé:ne kwí: kayé: nikana’talá:ke̲","I guess four pies","./audio/728.mp3"
729,"Né: kʌ kwahotoku onutakli’ yʌsá:ti̲","will you make it with real sugar?","./audio/729.mp3"
730,"Né: se’wah","sure will","./audio/730.mp3"
731,"yonuhwélhote’ káhik","peach","./audio/731.mp3"
732,"káhik","fruit","./audio/732.mp3"
733,"yeyʌthókwas","harvest","./audio/733.mp3"
734,"ʌtehsatekhunyá:na kwí: nʌ ʌwatunisán̲e̲’","you come over and eat when the corn gets ripe","./audio/734.mp3"
735,"né: ki’ ok ní: onʌhakʌ́:lat wakyʌtho̲","all I planted is Indian corn","./audio/735.mp3"
736,"okni’í:se tetsyalu kʌ sayʌtho̲","and did you plant both kinds?","./audio/736.mp3"
737,"tetsyalu kwí: wakyʌtho kanʌhʌ:ta’ khále’ onʌhakʌláte̲’","I planted both kinds, sweet corn and Indian corn","./audio/737.mp3"
738,"nʌ ki’ thoha á:utunisan ka’í:kʌ ó:nʌste̲’","the corn is almost ripe","./audio/738.mp3"
739,"hʌ́: nok tsi’ yahakwa tewakʌtí:yo̲","yes I did but it didn’t come up to good","./audio/739.mp3"
740,"tsi' niwakahʌtí:yo ó:nʌste sanʌstayʌtho kʌ ni í:s̲e̲","I have a real good crop of corn, did you plant corn?","./audio/740.mp3"
741,"kaheló:tu̲","rows of corn","./audio/741.mp3"
742,"ohel̲a̲","corn stalk","./audio/742.mp3"
743,"kanʌhʌta̲","dried sweet corn","./audio/743.mp3"
744,"onʌhakʌ́:late̲’","Indian corn","./audio/744.mp3"
745,"sayʌ́th̲o̲","you have planted","./audio/745.mp3"
746,"wakyʌ́tho","I have planted","./audio/746.mp3"
747,"á:utunisan̲e̲’","to mature (or ripen)","./audio/747.mp3"
748,"tetsyá:lu̲","both","./audio/748.mp3"
749,"yahakwa tewakʌtí:yo̲","my crop is not very good","./audio/749.mp3"
750,"kahʌtí:yo̲","a good crop","./audio/750.mp3"
751,"onʌstáse̲’","green corn","./audio/751.mp3"
752,"wé:ni kwí: ʌwatú:kohte’ ʌti","I guess this afternoon","./audio/752.mp3"
753,"ʌwá:tu kánke káti’ ʌteskóhn̲a̲","yes it is possible, when will you come after it?","./audio/753.mp3"
754,"ʌwá:tu kʌ óstuha akuhní:n̲u̲","is it possible to buy some from you?","./audio/754.mp3"
755,"hʌ́: nʌ sok wah","yes, they are ripe already","./audio/755.mp3"
756,"okna’ kʌ yotunisu","is it ripe already?","./audio/756.mp3"
757,"nʌ kyále’ yakahéwe’ aetwasahé:taku ohyotshél̲i̲","it is time to pick butter beans","./audio/757.mp3"
758,"tekahwístake̲’","two dollars","./audio/758.mp3"
759,"tekatshé:take̲’","two quarts","./audio/759.mp3"
760,"skatshé:tat","one quart","./audio/760.mp3"
761,"tó:nikano:l̲u̲","how much is it?","./audio/761.mp3"
762,"ʌwá:tu̲","yes it is possible","./audio/762.mp3"
763,"ʌwa:tú: kʌ","is it possible?","./audio/763.mp3"
764,"ʌteskóhn̲a̲’","you will come and get it","./audio/764.mp3"
765,"yotunisu","it is ripe","./audio/765.mp3"
766,"aetwasahé:taku̲","to pick beans","./audio/766.mp3"
767,"ohyótsheli̲","butter beans","./audio/767.mp3"
768,"É:lhal khále’ takós ki’ swatyehlʌ kanúsku ni nákehle̲’","sometimes the dog and cat live in the house","./audio/768.mp3"
769,"Kátsha’ kayʌ kanúsku kutinakehle̲’","which ones live in the house?","./audio/769.mp3"
770,"Otyake’ ki’ kanúsku kutinakehle̲’","some live in the house(animals)","./audio/770.mp3"
771,"Kátsha’ káti’ né: nú: nikutinakehle’ nén katshé:nʌ̲:","where do the domestic animals live?","./audio/771.mp3"
772,"Kalhaku né: kutinakehle’ nén kutilyó’shuha̲","wild animals live in the forest","./audio/772.mp3"
773,"katshé:nʌ̲","domestic animals","./audio/773.mp3"
774,"skʌhnaksʌ̲","fox","./audio/774.mp3"
775,"kutilyo’shúha̲","wild animals","./audio/775.mp3"
776,"ashʌ ki’ né: nahoti’talake nén Onʌyota’á:ka","Oneida people have three clans","./audio/776.mp3"
777,"thayú:ni né: na’ako’taló:tʌ nén aksotha̲","wolf is my grandmother’s clan","./audio/777.mp3"
778,"náhte’ kati né: na’ako’taló:tʌ nén sahsotha̲","what is your grandmother’s clan?","./audio/778.mp3"
779,"a’nó:wal né: naho’taló:tʌ nén lake’niha̲","turtle is my fathers clan","./audio/779.mp3"
780,"ok nen ya’niha náhte’ né: naho’taló:tʌ̲’","what about your father, what is his clan?","./audio/780.mp3"
781,"Hʌ  ohkwá:li ki’ né: na’ako’taló:tʌ’ nén aknulha","yes, my mother’s clan is bear","./audio/781.mp3"
782,"Sanúte’ kʌ náhte’ na’ako’taló:tʌ’ nén sanulha","do you know what your mother’s clan is?","./audio/782.mp3"
783,"Teyakohúhtyaks wʌhni’tatati","freezing ears month - January","./audio/783.mp3"
784,"á:se yohslá:te̲","new year","./audio/784.mp3"
785,"í:kelhe’ ashuthu kʌ ʌtutasawʌ̲","I thought they start at midnight","./audio/785.mp3"
786,"Tah só:tsi’ yata’tusahuleni tsi’ niyolé: ashuthu̲","no because it’s not over 'til midnight","./audio/786.mp3"
787,"Wahsatlʌnayʌna kʌ nén á:se yohslá:te yo’kalau","are you going to church on new year’s eve?","./audio/787.mp3"
788,"Hʌ ʌkheyuni ki’ nén kheyuhwátʌha","yes, I’m going to make one for my niece","./audio/788.mp3"
789,"ʌsatú:ni káti kʌ nén oyá:n kaya’tú:ni̲","are you going to make a doughnut doll?","./audio/789.mp3"
790,"hʌ né: ki’ kanutuynúhe̲’","yes, I’m thinking about it","./audio/790.mp3"
791,"satunya:ne’ kʌ nén oyá:n","are you going to make doughnuts?","./audio/791.mp3"
792,"tó:niyohwistaé","what time is it?","./audio/792.mp3"
793,"wa’yólhʌne̲","come morning","./audio/793.mp3"
794,"kwahsutati","all night","./audio/794.mp3"
795,"tayolhʌ’hati","coming daylight","./audio/795.mp3"
796,"ahsuthu̲","midnight","./audio/796.mp3"
797,"lutlʌnayʌnese̲’","they go to church","./audio/797.mp3"
798,"oyá:n kaya’túni̲","doughnut doll","./audio/798.mp3"
799,"oyá:n","doughnut","./audio/799.mp3"
800,"onhéhta̲","porcupine","./audio/800.mp3"
801,"tsyoní:tu̲’","beaver","./audio/801.mp3"
802,"oná:kʌt","groundhog","./audio/802.mp3"
803,"ska’nyúhsa̲’","moose","./audio/803.mp3"
804,"satuhkalyáks kʌh","are you hungry?","./audio/804.mp3"
805,"hao’ satekhú:ni̲","come and eat","./audio/805.mp3"
806,"hao’ swatekhú:ni̲","all of you come and eat","./audio/806.mp3"
807,"náhte’ isle’ asék","what do you want to eat?","./audio/807.mp3"
808,"náhte’ isle’ asnikí:la̲","what do you want to drink?","./audio/808.mp3"
809,"isle’ kʌh","do you want...?","./audio/809.mp3"
810,"yawʌ’kó:","a big thank you","./audio/810.mp3"
811,"yó:","your welcome","./audio/811.mp3"
812,"hʌ́: né: wah","yes, that is it","./audio/812.mp3"
813,"tah yah tʌh","no, that is not it","./audio/813.mp3"
814,"yah te’ wáki","I don’t have any","./audio/814.mp3"
815,"owistohsehl̲e̲","butter","./audio/815.mp3"
816,"tsyohyó:tsis","salt","./audio/816.mp3"
817,"onúkwat","pepper","./audio/817.mp3"
818,"ohnaná:ta̲","potato","./audio/818.mp3"
819,"o’walu̲’","meat","./audio/819.mp3"
820,"osahéth̲a̲","beans","./audio/820.mp3"
821,"onʌste̲’","corn","./audio/821.mp3"
822,"ohné:kanus","water","./audio/822.mp3"
823,"ohnuta̲","milk","./audio/823.mp3"
824,"swahyó:wan̲e̲","apple","./audio/824.mp3"
825,"tewahyakháni","tomato","./audio/825.mp3"
826,"á:nuk","onion","./audio/826.mp3"
827,"wá:yat","pie","./audio/827.mp3"
828,"kaná:talok","(store bought) bread","./audio/828.mp3"
829,"kakhwa’shúh̲a̲","foods","./audio/829.mp3"
830,"yaweku kʌh","does it taste good?","./audio/830.mp3"
831,"katsi’nkwalahu:tsi","orange","./audio/831.mp3"
832,"satla’swiyóhak","good luck!","./audio/832.mp3"
833,"wáhse̲","go on","./audio/833.mp3"
834,"waski’wáh","go on then","./audio/834.mp3"
835,"satkátho̲","(you) look!","./audio/835.mp3"
836,"tas thí:kʌ̲","hand me that","./audio/836.mp3"
837,"satkʌ́:lat","stop it! or let go!","./audio/837.mp3"
838,"tákʌ’ tʌhsaláhtat","don’t run","./audio/838.mp3"
839,"oskanʌ’shuha̲","slowly","./audio/839.mp3"
840,"atsyók","after while","./audio/840.mp3"
841,"satnútut","you wait","./audio/841.mp3"
842,"tesaslíhʌ̲","hurry up","./audio/842.mp3"
843,"hanyo hanyo","hurry hurry","./audio/843.mp3"
844,"kanto se:sek","you stay here","./audio/844.mp3"
845,"isi’ sátkwit","you move over","./audio/845.mp3"
846,"tetsya’nyanawʌ́ksi̲","you two take your mittens off","./audio/846.mp3"
847,"tehsa’nyanawʌ́ksi̲","take your mittens off","./audio/847.mp3"
848,"tsyana’alolóksi̲","you two take your hat off","./audio/848.mp3"
849,"sana’alolóksi̲","take your hat off","./audio/849.mp3"
850,"tsyatya’tawi’tási̲","you two take your coat, dress, or shirt off","./audio/850.mp3"
851,"satya’tawi’tási̲","take you coat, dress, or shirt off","./audio/851.mp3"
852,"tetsyalahtáhsi̲","you two take your shoes off","./audio/852.mp3"
853,"tehsalahtáhsi̲","take your shoes off","./audio/853.mp3"
854,"tetsyalatahkwanétasi̲","you two take your boots off","./audio/854.mp3"
855,"tehsalahtahkwanétasi̲","take you boots off","./audio/855.mp3"
856,"tutatsyatayat ó:nʌ̲","you two come back in now","./audio/856.mp3"
857,"tutasatayat ó:nʌ̲","you come back in now","./audio/857.mp3"
858,"wale:lú̲","frog","./audio/858.mp3"
859,"ohna’kwalohsa’kó:","elephant","./audio/859.mp3"
860,"tsikawihsakíh̲a̲’","monkey","./audio/860.mp3"
861,"aní:tas","skunk","./audio/861.mp3"
862,"kwalo:lú̲","owl","./audio/862.mp3"
863,"atú:nyote̲’","eagle","./audio/863.mp3"
864,"ʌti:lu̲","raccoon","./audio/864.mp3"
865,"ótku̲’","snake","./audio/865.mp3"
866,"otsi’no:wʌ̲","mouse","./audio/866.mp3"
867,"tsi’kwilʌ́:tu̲","squirrel","./audio/867.mp3"
868,"kohsa:tʌ́s","horse","./audio/868.mp3"
869,"othahyu:ní̲","wolf","./audio/869.mp3"
870,"kʌ́tsi","fish","./audio/870.mp3"
871,"é:lhal","dog","./audio/871.mp3"
872,"tsiskó:ko’","robin","./audio/872.mp3"
873,"kwa’yʌ́h̲a̲","rabbit","./audio/873.mp3"
874,"takós","cat","./audio/874.mp3"
875,"oskanu:tú̲:","deer","./audio/875.mp3"
876,"ohkwa:lí̲","bear","./audio/876.mp3"
877,"tsyatsyóhal","you two wash your face","./audio/877.mp3"
878,"sahtsyóhal","wash your hands","./audio/878.mp3"
879,"tsyatnawilóhal","you two brush your teeth","./audio/879.mp3"
880,"satnawilóhal","brush your teeth","./audio/880.mp3"
881,"tetsya’nyánawʌk","you two put on your mittens","./audio/881.mp3"
882,"tehsa’nyánawʌk","put on your mittens","./audio/882.mp3"
883,"tsyana’alo:lók","you two put your hat on","./audio/883.mp3"
884,"sana’alo:lók","put your hat on","./audio/884.mp3"
885,"tsyatyátahwit","you two put on your dress, shirt, or coat","./audio/885.mp3"
886,"satyátahwit","put on your dress, shirt, or coat","./audio/886.mp3"
887,"tetsyaláhtan","you two put on your shoes","./audio/887.mp3"
888,"tehsalátan","put on your shoes","./audio/888.mp3"
889,"tetsyalahtah kwané:tan","you two put on your boots","./audio/889.mp3"
890,"tehsalahtah kwané:tan","put on your boots","./audio/890.mp3"
891,"tsyatelhalat á:esniyakʌne̲’","you two get ready to go outside","./audio/891.mp3"
892,"satelhalat ashyá:kʌne̲’","get ready to go outside","./audio/892.mp3"
893,"tsyatketsko ó:nʌ̲","you two get up now","./audio/893.mp3"
894,"satketsko ó:nʌ̲","get up now","./audio/894.mp3"
895,"tsyanuhwetha ó:nʌ̲","you two go to bed now","./audio/895.mp3"
896,"ohalanʌ́:t̲a̲’","purple","./audio/896.mp3"
897,"awʌ́:la̲","green","./audio/897.mp3"
898,"owiskela̲’","white","./audio/898.mp3"
899,"athehsa̲’","brown","./audio/899.mp3"
900,"otsí:nkwal","yellow","./audio/900.mp3"
901,"ata’kʌla̲’","grey","./audio/901.mp3"
902,"sanuhwetha ó:nʌ̲","You go to bed now.","./audio/902.mp3"
903,"a'no:wál","turtle","./audio/903.mp3"
904,"olú:ya̲’","Blue","./audio/904.mp3"
905,"oswʌ́:ta̲’","black","./audio/905.mp3"
906,"Yaweku' se'wah","It sure is good","./audio/906.mp3"
907,"Kwa’ nyo uhte wahyáku","The berries must be real good","./audio/907.mp3"
908,"Tákʌ kwi ʌsesa’nikulhʌ yʌsanutaklitslú:ti̲","Don't forget to add sugar","./audio/908.mp3"
909,"Nʌ ki’ ʌwá:tu ʌtawahyá:lite̲’","We can have mashed berries now","./audio/909.mp3"
910,"Kwah nyo wahyowá:nʌse̲’","The berries are sure big","./audio/910.mp3"
911,"Sanúte’ kʌ tsi’ kʌ’niyohʌtesha’ tsi’ nú: niwatunyá:ta’ nén awʌhíhte̲’","Do you know that strawberries grow on a short plant?","./audio/911.mp3"
912,"Nʌ ki’ yahkahewe’ tsi’ niyuhyawas nén awʌhíhte̲’","It's now time to pick strawberries.","./audio/912.mp3"
913,"teyonutaklítslale̲’","It's sweet.","./audio/913.mp3"
914,"yotahyú:ni̲","Lots of berries","./audio/914.mp3"
915,"onutakeli̲","Sugar","./audio/915.mp3"
916,"wahyohwá:nʌse̲’","Big berries","./audio/916.mp3"
917,"wahyáku","Good fruit","./audio/917.mp3"
918,"onikwʌtahla̲’","Red","./audio/918.mp3"
919,"kʌ’niyohʌtésha̲’","Short plant","./audio/919.mp3"
920,"awʌhíhte̲’","Strawberry","./audio/920.mp3"
